time,DeviceID,SumoEdgeID,LaneNO,Volume,Svolume,Mvolume,Lvolume
2026-05-05 13:13:23,VMFIG20,,0,41,30,7,4
2026-05-05 13:13:23,VMFIG20,,1,30,20,7,3
2026-05-05 13:13:23,VMFIG20,,2,10,3,6,1
2026-05-05 13:13:23,VHZC820,,0,21,18,1,2
2026-05-05 13:13:23,VHZC820,,1,16,13,0,3
2026-05-05 13:13:23,VHZC820,,2,23,20,0,3
2026-05-05 13:13:23,VHZC820,,3,19,11,2,6
2026-05-05 13:13:23,VI6I900,,0,12,7,5,0
2026-05-05 13:13:23,VI6I900,,1,25,20,5,0
2026-05-05 13:13:23,VI6I900,,2,12,4,8,0
2026-05-05 13:13:23,VI9QP00,,0,39,36,3,0
2026-05-05 13:13:23,VI9QP00,,1,40,38,2,0
2026-05-05 13:13:23,VI9QP00,,2,25,17,8,0
2026-05-05 13:13:23,VI9QP00,,3,20,9,11,0
2026-05-05 13:13:23,VI9QP00,,4,9,3,6,0
2026-05-05 13:13:23,V4280C0,,0,117,115,1,1
2026-05-05 13:13:23,V4280C0,,1,53,45,2,6
2026-05-05 13:13:23,V12F2E0,,0,44,41,1,2
2026-05-05 13:13:23,VNZQA20,,0,44,16,24,4
2026-05-05 13:13:23,VNZQA20,,1,29,7,7,15
2026-05-05 13:13:23,VNZQA20,,2,15,7,1,7
2026-05-05 13:13:23,VN0B0E3,,0,36,34,1,1
2026-05-05 13:13:23,VN0B0E3,,1,33,27,0,6
2026-05-05 13:13:23,VN0B0E0,,0,40,39,0,1
2026-05-05 13:13:23,VN0B0E2,,0,34,30,3,1
2026-05-05 13:13:23,VN0B0E2,,1,38,36,1,1
2026-05-05 13:13:23,VN0B0E2,,2,34,34,0,0
2026-05-05 13:13:23,VN0B0E1,,0,19,17,1,1
2026-05-05 13:13:23,V1290E0,,0,45,42,2,1
2026-05-05 13:13:23,V1290E0,,1,76,68,4,4
2026-05-05 13:13:23,VT9NN00,,0,6,4,1,1
2026-05-05 13:13:23,VT9NN00,,1,11,8,3,0
2026-05-05 13:13:23,VT9NN00,,2,4,4,0,0
2026-05-05 13:13:23,VT9NN00,,3,14,6,6,2
2026-05-05 13:13:23,VT9NN00,,4,57,24,30,3
2026-05-05 13:13:23,VT9NN00,,5,15,0,12,3
2026-05-05 13:13:23,V2320G0,,0,85,80,5,0
2026-05-05 13:13:23,V2320G0,,1,67,66,1,0
2026-05-05 13:13:23,VLRHT60,,0,0,0,0,0
2026-05-05 13:13:23,VLRHT60,,1,0,0,0,0
2026-05-05 13:13:23,VLRHT60,,2,7,3,2,2
2026-05-05 13:13:23,V9240A0,,0,9,6,1,2
2026-05-05 13:13:23,V9240A0,,1,45,41,4,0
2026-05-05 13:13:23,V9240A0,,2,17,16,0,1
2026-05-05 13:13:23,V6141E0,,0,36,35,1,0
2026-05-05 13:13:23,VHX4E40,,0,9,5,0,4
2026-05-05 13:13:23,VJT4T00,,0,43,8,24,11
2026-05-05 13:13:23,VJT4T00,,1,25,4,15,6
2026-05-05 13:13:23,VLDTB20,,0,10,8,2,0
2026-05-05 13:13:23,VLDTB20,,1,31,27,3,1
2026-05-05 13:13:23,VLDTB20,,2,9,6,1,2
2026-05-05 13:13:23,VLDTB20,,3,13,10,1,2
2026-05-05 13:13:23,VJMHU00,,0,25,22,0,3
2026-05-05 13:13:23,VJMHU00,,1,33,19,5,9
2026-05-05 13:13:23,VJMHU00,,2,37,14,17,6
