DeviceID,LaneNO,SumoEdgeID,SectionName,departLane,FlowShare
VJQJI20,0,238526531#0,忠孝東路二段,0,
VJQJI20,1,238526531#0,忠孝東路二段,1,
VJQJI20,2,238526531#0,忠孝東路二段,2,
VJQJI20,3,506322846#0,忠孝東路二段,0,
VJQJI20,4,506322846#0,忠孝東路二段,1,
VJQJI20,5,506322846#0,忠孝東路二段,2,
VJWJ700,0,1458697048#0,新生南路一段,0,
VJWJ700,1,1458697048#0,新生南路一段,1,
VJWJ700,2,1458697048#0,新生南路一段,2,
VJWJ740,0,182334379#0,新生南路一段,0,
VJWJ740,1,182334379#0,新生南路一段,1,
VJWJ740,2,182334379#0,新生南路一段,2,
